Tool;IdNumber;ToolType;ToolUserType;Permanent;UnitsDiameter;Diameter;Angle;Radius;ProfileRadius;UpperRadius;NumTeeth;Description;TaperAngle;ShankDiameter;UnitsLength;Length;TotalLength;ShoulderLength;Startshoulderlength;TipLength;CuttingLength;HLength;Material;UnitsFeedSpin;Ftype;FeedXY;FeedZ;FeedFinish;Stype;Spin;SpinFinish;FeedZPenetration;FeedLeadIn;FeedLeadOut;FeedLink;ToolName;ToolGroupName;HolderName;GroupHolderName;Direction;ChamferLength;TipDiameter;ShoulderDiameter;ShoulderAngle;Message1;Message2;Message3;Message4;Message5;FloodCoolant;MistCoolant;HighPressureCoolant;LowPressureCoolant;ThroughHighPressureCoolant;ThroughLowPressureCoolant;AirBlastCoolant;MinimumQuantityLubricationCoolant;MinimumQuantityLubricationValue;Rough;SpinDirection;SpinLimit;ThreadingStandard;ThreadStandardByUser;ThreadingTableStandard;NumThreads;Pitch;PitchUnit
83;D4_SCHRUPP_SLOTMASCHINE;END MILL;D4_Schrupp_Slotmaschine_205550_4;1;mm;4;0;0;0;0;5;MasterSteel_Slotmachine / normale Schneidenl�nge / 205550;0;4;mm;12;57;19;0;0;11;77;None;mm;Fz;0.02;0.015;0.02;V;180;180;Y;100;100;200;;;Weldon_304272_6;;On B-axis;0;0;4;0;205550 4;304272 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;1;CW;0;;0;;0;0;mm
84;D5_SCHRUPP_SLOTMASCHINE;END MILL;D5_Schrupp_Slotmaschine_205550_5;1;mm;5;0;0;0;0;5;MasterSteel_Slotmachine / normale Schneidenl�nge / 205550;0;5;mm;22;57;19;0;0;13;87;None;mm;Fz;0.02;0.015;0.02;V;180;180;Y;100;100;200;;;Weldon_304272_6;;On B-axis;0;0;5;0;205550 5;304272 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;1;CW;0;;0;;0;0;mm
85;D6_SCHRUPP_SLOTMASCHINE;END MILL;D6_Schrupp_Slotmaschine_205550_6;1;mm;6;0;0;0;0;5;MasterSteel_Slotmachine / normale Schneidenl�nge / 205550;0;6;mm;22;57;19;0;0;13;87;None;mm;Fz;0.03;0.025;0.03;V;180;180;Y;100;100;200;;;Weldon_304272_6;;On B-axis;0;0;6;0;205550 6;304272 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;1;CW;0;;0;;0;0;mm
86;D8_SCHRUPP_SLOTMASCHINE;END MILL;D8_Schrupp_Slotmaschine_205550_8;1;mm;8;0;0;0;0;5;MasterSteel_Slotmachine / normale Schneidenl�nge / 205550;0;8;mm;28;63;25;0;0;19;93;None;mm;Fz;0.04;0.035;0.04;V;180;180;Y;100;100;200;;;Weldon_304272_8;;On B-axis;0;0;8;0;205550 8;304272 8;0;;HSK 63;0;0;0;0;0;0;0;0;0;1;CW;0;;0;;0;0;mm
87;D10_SCHRUPP_SLOTMASCHINE;END MILL;D10_Schrupp_Slotmaschine_205550_10;1;mm;10;0;0;0;0;5;MasterSteel_Slotmachine / normale Schneidenl�nge / 205550;0;10;mm;34;72;30;0;0;22;99;None;mm;Fz;0.06;0.045;0.06;V;180;180;Y;100;100;200;;;Weldon_304272_10;;On B-axis;0;0;10;0;205550 10;304272 10;0;;HSK 63;0;0;0;0;0;0;0;0;0;1;CW;0;;0;;0;0;mm
88;D12_SCHRUPP_SLOTMASCHINE;END MILL;D12_Schrupp_Slotmaschine_205550_12;1;mm;12;0;0;0;0;5;MasterSteel_Slotmachine / normale Schneidenl�nge / 205550;0;12;mm;40;83;36;0;0;26;120;None;mm;Fz;0.06;0.045;0.06;V;180;180;Y;100;100;200;;;Weldon_304272_12;;On B-axis;0;0;12;0;205550 12;304272 12;0;;HSK 63;0;0;0;0;0;0;0;0;0;1;CW;0;;0;;0;0;mm
89;D16_SCHRUPP_SLOTMASCHINE;END MILL;D16_Schrupp_Slotmaschine_205550_16;1;mm;16;0;0;0;0;5;MasterSteel_Slotmachine / normale Schneidenl�nge / 205550;0;16;mm;47;92;42;0;0;32;127;None;mm;Fz;0.065;0.055;0.065;V;180;180;Y;100;100;200;;;Weldon_304272_16;;On B-axis;0;0;16;0;205550 16;304272 16;0;;HSK 63;0;0;0;0;0;0;0;0;0;1;CW;0;;0;;0;0;mm
111;D6_SCHRUPP_UEBERLANG;END MILL;D6_Schruppfr�ser_MTC_�berlang_205718;1;mm;6;0;0;0;0;4;Schruppfr�ser �berlang/ 205718/ freigeschliffen;0;6;mm;44;80;40;0;0;12;109;None;mm;Fz;0.02;0.02;0.02;V;150;150;Y;100;100;200;;;Weldon_304272_6;;On B-axis;0;0;5.5;90;205718 6;304272 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
112;D8_SCHRUPP_UEBERLANG;END MILL;D8_Schruppfr�ser_MTC_�berlang_205718;1;mm;8;0;0;0;0;4;Schruppfr�ser �berlang/ 205718/ freigeschliffen;0;8;mm;55;100;50;0;0;16;120;None;mm;Fz;0.03;0.03;0.03;V;150;150;Y;100;100;200;;;Weldon_304272_8;;On B-axis;0;0;7.5;90;205718 8;304272 8;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
113;D10_SCHRUPP_UEBERLANG;END MILL;D10_Schruppfr�ser_MTC_�berlang_205718;1;mm;10;0;0;0;0;4;Schruppfr�ser �berlang/ 205718/ freigeschliffen;0;10;mm;64;100;60;0;0;20;129;None;mm;Fz;0.035;0.0335;0.035;V;150;150;Y;100;100;200;;;Weldon_304272_10;;On B-axis;0;0;9.5;90;205718 10;304272 10;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
114;D12_SCHRUPP_UEBERLANG;END MILL;D12_Schruppfr�ser_MTC_�berlang_205718;0;mm;12;0;0;0;0;4;Schruppfr�ser �berlang/ 205718/ freigeschliffen;0;12;mm;66;120;60;0;0;24;146;None;mm;Fz;0.04;0.0335;0.04;V;150;150;Y;100;100;200;;;Weldon_304272_12;;On B-axis;0;0;11.5;90;205718 12;304272 12;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
115;D16_SCHRUPP_UEBERLANG;END MILL;D16_Schruppfr�ser_MTC_�berlang_205718;1;mm;16;0;0;0;0;5;Schruppfr�ser �berlang/ 205718/ freigeschliffen;0;16;mm;105;150;100;0;0;32;185;None;mm;Fz;0.05;0.045;0.05;V;150;150;Y;100;100;200;;;Weldon_304272_16;;On B-axis;0;0;15.5;90;205718 16;304272 16;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
123;D6_SCHRUPP_TPC_GRUEN;END MILL;VHM-Schaftfr�ser_TPC_Gr�nring_D6_203089;1;mm;6;0;0;0;0;5;VHM Schaftfr�ser / TPC / Gr�nring /203089;0;6;mm;28;62;25;0;0;18;93;None;mm;Fz;0.03;0.01;0.03;V;340;340;Y;100;100;200;;;304450_6_A=65mm;;On B-axis;0;0;6;0;203089 6;304450 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
124;D8_SCHRUPP_TPC_GRUEN;END MILL;VHM-Schaftfr�ser_TPC_Gr�nring_D8_203089;1;mm;8;0;0;0;0;5;VHM Schaftfr�ser / TPC / Gr�nring /203089;0;8;mm;35;68;30;0;0;24;100;None;mm;Fz;0.04;0.015;0.04;V;340;340;Y;100;100;200;;;304450_8_A=65mm;;On B-axis;0;0;8;0;203089 8;304450 8;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
125;D10_SCHRUPP_TPC_GRUEN;END MILL;VHM-Schaftfr�ser_TPC_Gr�nring_D10_203089;1;mm;10;0;0;0;0;5;VHM Schaftfr�ser / TPC / Gr�nring /203089;0;10;mm;40;80;35;0;0;30;110;None;mm;Fz;0.04;0.015;0.04;V;340;340;Y;100;100;200;;;304450_10_A=70mm;;On B-axis;0;0;10;0;203089 10;304450 10;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
126;D12_SCHRUPP_TPC_GRUEN;END MILL;VHM-Schaftfr�ser_TPC_Gr�nring_D12_203089;1;mm;12;0;0;0;0;5;VHM Schaftfr�ser / TPC / Gr�nring /203089;0;12;mm;50;93;45;0;0;36;130;None;mm;Fz;0.05;0.015;0.05;V;340;340;Y;100;100;200;;;304450_12_A=80mm;;On B-axis;0;0;12;0;203089 12;304450 12;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
127;D16_SCHRUPP_TPC_GRUEN;END MILL;VHM-Schaftfr�ser_TPC_Gr�nring_D16_203089;1;mm;16;0;0;0;0;5;VHM Schaftfr�ser / TPC / Gr�nring /203089;0;16;mm;60;108;55;0;0;48;140;None;mm;Fz;0.05;0.015;0.05;V;340;340;Y;100;100;200;;;304450_16_A=80mm;;On B-axis;0;0;16;0;203089 16;304450 16;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
129;D6_TPC_INGERSOLL_UNI;END MILL;D6_TPC_INGERSOLL_UNI_3064256;1;mm;6;0;0;0;0;4;HPC Fraeser / Split-Line / 47C12044W2RD020;0;6;mm;29;65;25;0;0;24;94;None;mm;Fz;0.032;0.032;0.032;V;300;300;Y;100;100;200;;;304450_6_A=65mm;;On B-axis;0;0;6;0;47C06024WERD010;304450 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
130;D8_TPC_INGERSOLL_UNI;END MILL;D8_TPC_INGERSOLL_UNI_3064257;1;mm;8;0;0;0;0;4;HPC Fraeser / Split-Line / 47C12044W2RD020;0;8;mm;37;76;33;0;0;32;102;None;mm;Fz;0.042;0.042;0.042;V;300;300;Y;100;100;200;;;304450_8_A=65mm;;On B-axis;0;0;8;0;47C08032W0RD020;304450 8;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
131;D10_TPC_INGERSOLL_UNI;END MILL;D10_TPC_INGERSOLL_UNI_3064258;1;mm;10;0;0;0;0;4;HPC Fraeser / Split-Line / 47C12044W2RD020;0;10;mm;45;90;41;0;0;40;115;None;mm;Fz;0.051;0.051;0.051;V;300;300;Y;100;100;200;;;304450_10_A=70mm;;On B-axis;0;0;10;0;47C10040W1RD020;304450 10;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
132;D12_TPC_INGERSOLL_UNI;END MILL;D12_TPC_INGERSOLL_UNI_3092099;1;mm;12;0;0;0;0;4;HPC Fraeser / Split-Line / 47C12044W2RD020;0;12;mm;50;100;45;0;0;44;130;None;mm;Fz;0.06;0.06;0.06;V;300;300;Y;100;100;200;;;304450_12_A=80mm;;On B-axis;0;0;12;0;47C12044W2RD021;304450 12;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
136;D6_SCHRUPP_TPC_BLAU;END MILL;VHM-Schaftfr�ser_TPC_Blauring_D6_203019;1;mm;6;0;0;0;0;5;VHM Schaftfr�ser / TPC / Blauring /203019;0;6;mm;30;62;25;0;0;18;95;None;mm;Fz;0.03;0.01;0.03;V;220;220;Y;100;100;200;;;304450_6_A=65mm;;On B-axis;0;0;6;0;203019 6;304450 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
137;D8_SCHRUPP_TPC_BLAU;END MILL;VHM-Schaftfr�ser_TPC_Blauring_D8_203019;1;mm;8;0;0;0;0;5;VHM Schaftfr�ser / TPC / Blauring /203019;0;8;mm;33;68;30;0;0;24;98;None;mm;Fz;0.04;0.015;0.04;V;220;220;Y;100;100;200;;;304450_8_A=65mm;;On B-axis;0;0;8;0;203019 8;304450 8;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
138;D10_SCHRUPP_TPC_BLAU;END MILL;VHM-Schaftfr�ser_TPC_Blauring_D10_203019;1;mm;10;0;0;0;0;5;VHM Schaftfr�ser / TPC / Blauring /203019;0;10;mm;39;80;35;0;0;30;109;None;mm;Fz;0.04;0.015;0.04;V;220;220;Y;100;100;200;;;304450_10_A=70mm;;On B-axis;0;0;10;0;203019 10;304450 10;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
139;D12_SCHRUPP_TPC_BLAU;END MILL;VHM-Schaftfr�ser_TPC_Blauring_D12_203019;1;mm;12;0;0;0;0;5;VHM Schaftfr�ser / TPC / Blauring /203019;0;12;mm;50;93;45;0;0;36;130;None;mm;Fz;0.05;0.015;0.05;V;220;220;Y;100;100;200;;;304450_12_A=80mm;;On B-axis;0;0;12;0;203019 12;304450 12;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
140;D16_SCHRUPP_TPC_BLAU;END MILL;VHM-Schaftfr�ser_TPC_Blauring_D16_203019;1;mm;16;0;0;0;0;5;VHM Schaftfr�ser / TPC / Blauring /203019;0;16;mm;60;108;55;0;0;48;140;None;mm;Fz;0.05;0.015;0.05;V;220;220;Y;100;100;200;;;304450_16_A=80mm;;On B-axis;0;0;16;0;203019 16;304450 16;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
141;D6_TPC_INGERSOLL_EDEL_KURZ;END MILL;D6_TPC_Ingersoll_Edelstahl_5892863;1;mm;6;0;0;0;0;4;TPC Fr�ser / Ingersoll / eco-line /schwarz;0;6;mm;15;45;20;0;0;10;80;None;mm;Fz;0.035;0.035;0.035;V;170;170;Y;100;100;200;;;304450_6_A=65mm;;On B-axis;0;0;6;0;47C06010WERQ012;304450 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
142;D6_TPC_INGERSOLL_EDEL;END MILL;D6_TPC_Ingersoll_Edelstahl_5892863;1;mm;6;0;0;0;0;4;TPC Fr�ser / Ingersoll / eco-line /schwarz;0;6;mm;28;63;29;0;0;19;93;None;mm;Fz;0.035;0.035;0.035;V;170;170;Y;100;100;200;;;304450_6_A=65mm;;On B-axis;0;0;6;0;47D06019WERT020;304450 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
143;D8_TPC_INGERSOLL_EDEL;END MILL;D8_TPC_Ingersoll_Edelstahl_5892220;1;mm;8;0;0;0;0;4;TPC Fr�ser / Ingersoll / eco-line /schwarz;0;8;mm;35;70;33;0;0;23;100;None;mm;Fz;0.04;0.04;0.04;V;170;170;Y;100;100;200;;;304450_8_A=65mm;;On B-axis;0;0;8;0;47D08023W0RT050;304450 8;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
144;D10_TPC_INGERSOLL_EDEL;END MILL;D10_TPC_Ingersoll_Edelstahl_5892221;1;mm;10;0;0;0;0;4;TPC Fr�ser / Ingersoll / eco-line /schwarz;0;10;mm;45;81;43;0;0;33;115;None;mm;Fz;0.05;0.05;0.05;V;170;170;Y;100;100;200;;;304450_10_A=70mm;;On B-axis;0;0;10;0;47D10033W1RT050;304450 10;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
145;D12_TPC_INGERSOLL_EDEL;END MILL;D12_TPC_Ingersoll_Edelstahl_5892222;1;mm;12;0;0;0;0;4;TPC Fr�ser / Ingersoll / eco-line /schwarz;0;12;mm;50;94;47;0;0;37;130;None;mm;Fz;0.06;0.06;0.06;V;170;170;Y;100;100;200;;;304450_12_A=80mm;;On B-axis;0;0;12;0;47D12037W2RT050;304450 12;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
146;D16_TPC_INGERSOLL_EDEL;END MILL;D16_TPC_Ingersoll_Edelstahl_5892223;1;mm;16;0;0;0;0;4;TPC Fr�ser / Ingersoll / eco-line /schwarz;0;16;mm;60;109;50;0;0;40;140;None;mm;Fz;0.075;0.075;0.075;V;170;170;Y;100;100;200;;;304450_16_A=80mm;;On B-axis;0;0;16;0;47D16040W3RT100;304450 16;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
148;D16_TPC_INGERSOLL_LILA;END MILL;D16_TPC_Ingersoll_lila_3099071;1;mm;16;0;0;0;0;4;Ingersoll TPC Fr�ser f�r Edelstahl D16 / lila / extra lang;0;16;mm;60;109;56;0;0;55;140;None;mm;F;1000;300;800;V;200;200;Y;100;100;200;;;304450_16_A=80mm;;On B-axis;0;0;16;0;47C16055W3RD032;304450 16;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
151;VHM_BOHRER_D2.7;DRILL;D2.7_MasterSteel_Speed_6xD_122715_2.7;1;mm;2.7;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;4;mm;25;57;21;0;0;21;155;None;mm;Fz;0.06;0.06;0.06;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_4;;On B-axis;0;0;2.7;30;122715 2 7;308196 4;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
152;VHM_BOHRER_D3.4;DRILL;D3.4_MasterSteel_Speed_6xD_122715_3.4;1;mm;3.4;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;6;mm;32;66;28;0;0;28;152;None;mm;Fz;0.1;0.1;0.1;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=120mm_308192_6;;On B-axis;0;0;4;30;122715 3 4;308192 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
153;VHM_BOHRER_D4.5;DRILL;D4.5_MasterSteel_Speed_6xD_122715_4.5;1;mm;4.5;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;6;mm;40;74;36;0;0;36;160;None;mm;Fz;0.13;0.13;0.13;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=120mm_308192_6;;On B-axis;0;0;4.5;30;122715 4 5;308192 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
154;VHM_BOHRER_D5.5;DRILL;D5.5_MasterSteel_Speed_6xD_122715_5.5;1;mm;5.5;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;6;mm;48;82;44;0;0;44;168;None;mm;Fz;0.18;0.18;0.18;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=120mm_308192_6;;On B-axis;0;0;5.5;30;122715 5 5;308192 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
155;VHM_BOHRER_D6.6;DRILL;D6.6_MasterSteel_Speed_6xD_122715_6.6;1;mm;6.6;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;8;mm;57;91;53;0;0;53;177;None;mm;Fz;0.2;0.2;0.2;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=120mm_308192_8;;On B-axis;0;0;6.6;30;122715 6 6;308192 8;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
156;VHM_BOHRER_D9;DRILL;D9_MasterSteel_Speed_6xD_122715_9;1;mm;9;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;10;mm;65;103;61;0;0;61;185;None;mm;Fz;0.22;0.22;0.22;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=120mm_308192_10;;On B-axis;0;0;9;30;122715 9;308192 10;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
157;VHM_BOHRER_D11;DRILL;D11_MasterSteel_Speed_6xD_122715_11;1;mm;11;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;12;mm;75;118;71;0;0;71;195;None;mm;Fz;0.25;0.25;0.25;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=120mm_308192_12;;On B-axis;0;0;11;30;122715 11;308192 12;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
158;VHM_BOHRER_D13.5;DRILL;D13.5_MasterSteel_Speed_6xD_122715_13.5;1;mm;13.5;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;14;mm;82;124;77;0;0;77;202;None;mm;Fz;0.25;0.25;0.25;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=120mm_308192_14;;On B-axis;0;0;13.5;30;122715 13 5;308192 14;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
171;VHM_BOHRER_D2.3_M2.5;DRILL;D2.3_MasterSteel_Speed_6xD_122715_2.3;1;mm;2.3;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;4;mm;25;57;21;0;0;21;155;None;mm;Fz;0.06;0.06;0.06;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_4;;On B-axis;0;0;2.3;30;122715 2 3;308196 4;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
172;VHM_BOHRER_D2.8_M3_3H7;DRILL;D2.8_MasterSteel_Speed_6xD_122715_2.8;1;mm;2.8;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;4;mm;25;57;21;0;0;21;155;None;mm;Fz;0.06;0.06;0.06;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_4;;On B-axis;0;0;2.8;30;122715 2 8;308196 4;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
173;VHM_BOHRER_D3.7_M4;DRILL;D3.7_MasterSteel_Speed_6xD_122715_3.7;1;mm;3.7;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;6;mm;32;66;28;0;0;28;152;None;mm;Fz;0.1;0.1;0.1;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=120mm_308192_6;;On B-axis;0;0;4;30;122715 3 7;308192 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
174;VHM_BOHRER_D4.65_M5;DRILL;D4.65_MasterSteel_Speed_6xD_122715_4.65;1;mm;4.65;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;6;mm;40;74;36;0;0;36;160;None;mm;Fz;0.13;0.13;0.13;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=120mm_308192_6;;On B-axis;0;0;4.65;30;122715 4 65;308192 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
175;VHM_BOHRER_D5.55_M6;DRILL;D5.55_MasterSteel_Speed_6xD_122715_5.55;1;mm;5.55;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;6;mm;48;82;44;0;0;44;168;None;mm;Fz;0.18;0.18;0.18;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=120mm_308192_6;;On B-axis;0;0;5.55;30;122715 5 55;308192 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
176;VHM_BOHRER_D7.5_M8;DRILL;D7.5_MasterSteel_Speed_6xD_122715_7.5;1;mm;7.5;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;8;mm;57;91;53;0;0;53;177;None;mm;Fz;0.2;0.2;0.2;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=120mm_308192_8;;On B-axis;0;0;7.5;30;122715 7 5;308192 8;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
177;VHM_BOHRER_D9.4_M10;DRILL;D9.4_MasterSteel_Speed_6xD_122715_9.4;1;mm;9.4;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;10;mm;65;103;61;0;0;61;185;None;mm;Fz;0.22;0.22;0.22;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=120mm_308192_10;;On B-axis;0;0;9.4;30;122715 9 4;308192 10;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
178;VHM_BOHRER_D11.2_M12;DRILL;D11.2_MasterSteel_Speed_6xD_122715_11.2;1;mm;11.2;135;0;0;0;1;MasterSteel / Speed / 6xD / VHM / 122715;0;12;mm;75;118;71;0;0;71;195;None;mm;Fz;0.25;0.25;0.25;V;150;150;Y;100;100;200;;;Schrumpffutter_lang_A=120mm_308192_12;;On B-axis;0;0;11.2;30;122715 11 2;308192 12;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
182;M3_GEWINDE_FORMER;TAP;M3_Gewindeformer_139215_H�lse;1;mm;3;0;0;0;0;1;M3_HSS Gewindeformer mit Schmiernuten / 139215 / ohne IKZ;0;3;mm;83;13;13;0;0;13;130;None;mm;Fz;0.5;0.5;0.5;V;40;40;Y;100;100;200;;;Gewinde_MLA_M1-M12_338110;;On B-axis;0.1;2.5;3;0;139215 M3;338110 M1-12;0;;HSK 63;1;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0.5;mm
183;M4_GEWINDE_FORMER;TAP;M4_Gewindeformer_139230_H�lse;1;mm;4;0;0;0;0;1;M4_HSS Gewindeformer mit Schmiernuten / 139230 / IKZ;0;6;mm;78;8;8;0;0;8;130;None;mm;Fz;0.7;0.7;0.7;V;40;40;Y;100;100;200;;;Gewinde_MLA_M1-M12_338110;;On B-axis;0.8;3.5;6;0;139230 M4;338110 M1-12;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0.7;mm
184;M5_GEWINDE_FORMER;TAP;M5_Gewindeformer_139230_H�lse;1;mm;5;0;0;0;0;1;M5_HSS Gewindeformer mit Schmiernuten / 139230 / IKZ;0;6;mm;79;9;9;0;0;9;130;None;mm;Fz;0.8;0.8;0.8;V;40;40;Y;100;100;200;;;Gewinde_MLA_M1-M12_338110;;On B-axis;0.9;4.5;6;0;139230 M5;338110 M1-12;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0.8;mm
185;M6_GEWINDE_FORMER;TAP;M6_Gewindeformer_139230_H�lse;1;mm;6;0;0;0;0;1;M6_HSS Gewindeformer mit Schmiernuten / 139230 / IKZ;0;6;mm;91;11;11;0;0;11;140;None;mm;Fz;1;1;1;V;40;40;Y;100;100;200;;;Gewinde_MLA_M1-M12_338110;;On B-axis;1;5.5;6;0;139230 M6;338110 M1-12;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;1;mm
186;M8_GEWINDE_FORMER;TAP;M8_Gewindeformer_139230_H�lse;1;mm;8;0;0;0;0;1;M8_HSS Gewindeformer mit Schmiernuten / 139230 / IKZ;0;6;mm;102;12;12;0;0;12;148;None;mm;Fz;1.25;1.25;1.25;V;40;40;Y;100;100;200;;;Gewinde_MLA_M1-M12_338110;;On B-axis;1.2;7.5;6;0;139230 M8;338110 M1-12;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;1.25;mm
187;M10_GEWINDE_FORMER;TAP;M10_Gewindeformer_139230_H�lse;1;mm;10;0;0;0;0;1;M10_HSS Gewindeformer mit Schmiernuten / 139230 / IKZ;0;6;mm;115;15;15;0;0;15;158;None;mm;Fz;1.5;1.5;1.5;V;40;40;Y;100;100;200;;;Gewinde_MLA_M1-M12_338110;;On B-axis;1.25;9.5;6;0;139230 M10;338110 M1-12;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;1.5;mm
