Tool;IdNumber;ToolType;ToolUserType;Permanent;UnitsDiameter;Diameter;Angle;Radius;ProfileRadius;UpperRadius;NumTeeth;Description;TaperAngle;ShankDiameter;UnitsLength;Length;TotalLength;ShoulderLength;Startshoulderlength;TipLength;CuttingLength;HLength;Material;UnitsFeedSpin;Ftype;FeedXY;FeedZ;FeedFinish;Stype;Spin;SpinFinish;FeedZPenetration;FeedLeadIn;FeedLeadOut;FeedLink;ToolName;ToolGroupName;HolderName;GroupHolderName;Direction;ChamferLength;TipDiameter;ShoulderDiameter;ShoulderAngle;Message1;Message2;Message3;Message4;Message5;FloodCoolant;MistCoolant;HighPressureCoolant;LowPressureCoolant;ThroughHighPressureCoolant;ThroughLowPressureCoolant;AirBlastCoolant;MinimumQuantityLubricationCoolant;MinimumQuantityLubricationValue;Rough;SpinDirection;SpinLimit;ThreadingStandard;ThreadStandardByUser;ThreadingTableStandard;NumThreads;Pitch;PitchUnit
36;FASER_D10;CHAMFER DRILL;VHM_Entgrater_D10_208164;1;mm;10;90;0;0;0;6;VHM Entgrater / 90 Grad / 208164;0;10;mm;40;72;15;0;0;5.5;160;None;mm;F;954.93;954.93;954.93;V;100;100;Y;100;100;200;;;Schrumpffutter_extra_Schlank_A=120mm_308318_10;;On B-axis;0;0;10;0;208164 10;308318 10;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
37;RW_ENTGRATER_45GRD_6X7.8;END MILL;RW_Entgrater_45GRD_6x7.8;1;mm;7.8;0;0;0;0;4;VHM-Vor- und R�ckw�rtsentgrater 7.8 mm / Artikel-Nr.: 208180 7.8;0;6;mm;38;100;2.4;0;0;2;118;None;mm;F;280;227.364;280;V;65;65;N;100;100;200;;;Schrumpffutter_normal_(vernickelt)_308172_6;;On B-axis;0;0;6;0;208180 7.8;308172 6;0;;HSK 63;1;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
43;D1_SCHLICHT_KURZ;END MILL;D1_Schaftfr�ser_MTC_202392;1;mm;1;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/kurze Schneiden/202392;0;6;mm;12;57;5;0;0;2.5;142;None;mm;Fz;0.01;0.00471239;0.005;V;200;220;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_6;;On B-axis;0;0;1;30;202392 1;308196 6;0;;HSK 63;1;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
44;D1.5_SCHLICHT_KURZ;END MILL;D1.5_Schaftfr�ser_MTC_202392;1;mm;1.5;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/kurze Schneiden/202392;0;6;mm;20;57;7.5;0;0;4;150;None;mm;Fz;0.01;0.00471239;0.005;V;200;220;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_6;;On B-axis;0;0;1.5;30;202392 1 5;308196 6;0;;HSK 63;1;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
45;D2_SCHLICHT_KURZ;END MILL;D2_Schaftfr�ser_MTC_202392;1;mm;2;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/kurze Schneiden/202392;0;6;mm;20;57;10;0;0;5;150;None;mm;Fz;0.02;0.01;0.01;V;200;220;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_6;;On B-axis;0;0;2;30;202392 2;308196 6;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
46;D2.5_SCHLICHT_KURZ;END MILL;D2.5_Schaftfr�ser_MTC_202392;1;mm;2.5;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/kurze Schneiden/202392;0;6;mm;20;57;12.5;0;0;6.5;150;None;mm;Fz;0.02;0.01;0.01;V;200;220;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_6;;On B-axis;0;0;2.5;30;202392 2 5;308196 6;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
47;D3_SCHLICHT_KURZ;END MILL;D3_Schaftfr�ser_MTC_202392;1;mm;3;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/kurze Schneiden/202392;0;6;mm;20;57;15;0;0;8;150;None;mm;Fz;0.02;0.015;0.015;V;200;220;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_6;;On B-axis;0;0;3;30;202392 3;308196 6;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
48;D3.5_SCHLICHT_KURZ;END MILL;D3.5_Schaftfr�ser_MTC_202392;1;mm;3.5;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/kurze Schneiden/202392;0;6;mm;20;57;16;0;0;11;150;None;mm;Fz;0.022;0.015;0.015;V;200;220;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_6;;On B-axis;0;0;3.5;30;202392 3 5;308196 6;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
49;D4_SCHLICHT_KURZ;END MILL;D4_Schaftfr�ser_MTC_202392;1;mm;4;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/kurze Schneiden/202392;0;6;mm;20;57;16;0;0;11;150;None;mm;Fz;0.02;0.015;0.015;V;200;220;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_6;;On B-axis;0;0;4;30;202392 4;308196 6;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
50;D4.5_SCHLICHT_KURZ;END MILL;D4.5_Schaftfr�ser_MTC_202392;1;mm;4.5;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/kurze Schneiden/202392;0;6;mm;22;57;19;0;0;13;152;None;mm;Fz;0.035;0.03;0.03;V;200;220;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_6;;On B-axis;0;0;4.5;30;202392 4 5;308196 6;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
