QR;ToolNummer;ToolName;D;Ausspann_Laenge;IST_Laenge;SOLL_Laenge;Message1;Message2;Message3;Message4;Message5;Maschine
;283;D12_R2_TORUS_STAHL;12;42;132;;206357 12 2;308172 12;;;HSK 63;DMU
;284;D12_R3_TORUS_STAHL;12;42;132;;206357 12 3;308172 12;;;HSK 63;C32
;285;D16_R2_TORUS_STAHL;16;50;145;;206357 16 2;308172 16;;;HSK 63;C42
;290;VIERTELKREIS_R1;8;35;115;;208022 1;308172 6;;;HSK 63;C400
;299;VIERTELKREIS_R5;20;35;135;;208022 5;308187 20;;;HSK 63;DMU
;306;KUGELFRAESER_ALU_D3;3;23.5;145;;207032 3;304972 2-6;309563 3;;HSK 63;C32
;307;KUGELFRAESER_ALU_D4;4;28.5;150;;207032 4;304972 2-6;309563 4;;HSK 63;C42
;308;KUGELFRAESER_ALU_D5;5;21.5;143;;207032 5;304972 2-6;309563 5;;HSK 63;C400
;309;KUGELFRAESER_ALU_D6;6;28.5;150;;207032 6;304972 2-6;309563 6;;HSK 63;DMU
;310;KUGELFRAESER_ALU_D8;8;30;150;;207032 8;308318 8;;;HSK 63;C32
;311;KUGELFRAESER_ALU_D10;10;35;155;;207032 10 ;308318 10;;;HSK 63;C42
;312;KUGELFRAESER_ALU_D12;12;43;163;;207032 12;308318 12;;;HSK 63;C400
;321;KUGELFRAESER_STAHL_D1;1;19.5;141;;207125 1;304972 2-6;309563 4;;HSK 63;DMU
;322;KUGELFRAESER_STAHL_D2;2;19.5;141;;207125 2;304972 2-6;309563 6;;HSK 63;C32
;323;KUGELFRAESER_STAHL_D3;3;19.5;141;;207477 3;304972 2-6;309563 3;;HSK 63;C42
;324;KUGELFRAESER_STAHL_D4;4;24.5;146;;207477 4;304972 2-6;309563 4;;HSK 63;C400
;325;KUGELFRAESER_STAHL_D5;5;19.5;141;;207477 5;304972 2-6;309563 5;;HSK 63;DMU
;326;KUGELFRAESER_STAHL_D6;6;19.5;141;;207477 6;304972 2-6;309563 6;;HSK 63;C32
;327;KUGELFRAESER_STAHL_D8;8;20;140;;207477 8;308318 8;;;HSK 63;C42
;328;KUGELFRAESER_STAHL_D10;10;20;140;;207477 10;308318 10;;;HSK 63;C400
;329;KUGELFRAESER_STAHL_D12;12;25;145;;207477 12;308318 12;;;HSK 63;DMU
;334;D4X1_NUTFREASER_Webasto;4;25;105;;DCN.3.40.10.00.1.06 AN25;308187_6;;;HSK 63;C32
;335;D6X1.5_NUTENFRAESER_DOCKWEILER;6;25;105;;DCR.3.60.15.75.2.06AN25;308172 8;;;HSK 63;C42
;336;D8X1.5_NUTENFRAESER_DOCKWEILER;8;63;153;;DCR.4.80.15.75.5.08AN25;308172 12;;;HSK 63;C400
;340;D20X1_SCHEIBENFRAESER_ALESA;20;53;143;;6317.0280;308172 12;6018.0476;;HSK 63;DMU
;341;D30X1.5_SCHEIBENFRAESER_ALESA;32;53;143;;6317.0405;308172 12;6018.0476;;HSK 63;C32
;342;D50X1.5_SCHEIBENFRAESER_ALESA;50;63;153;;6317.0574;308172 16;6018.0594;;HSK 63;C42
;343;D63X2_SCHEIBENFRAESER_ALESA;63;2.73;109.73;;6354.0629 - 6354.0644;6058.0640;;;HSK 63;C400
;344;D80X2_SCHEIBENFRAESER_ALESA;80;2.73;107;;6354.0661 - 6354.0676 ;6058.0640;;;HSK 63;DMU
;345;D100X3_SCHEIBENFRAESER_ALESA;100;5.08;123;;6354.0723 - 6354.0738 ;6058.0650;;;HSK 63;C32
;346;D125X3_SCHEIBENFRAESER_ALESA;125;3.97;123.19;;6354.0753 - 6354.0768 ;6058.0650;;;HSK 63;C42
;561;G1-8_ZOLL;9.73007;101;127;;137805 G1/8;338110 M1-12;;;HSK 63;C400
;562;G1-4_ZOLL;13.1601;117;127;;137805 G1/4;338110 M1-12;;;HSK 63;DMU
;563;G3-8_ZOLL;16.6601;117;183;;137805 G3/8;338110 M6-20;;;HSK 63;C32
;566;G3-4_ZOLL;26.44;170;203;;137805 G3/4;338110 M6-20;;;HSK 63;C42
;580;GEWINDEFRAESER_M2.5_GUEHRING;1.95;15;95;;4226 2.500;308172 3;;;HSK 63;C400
